"","canal","qualidade","percentual","impressoes"
"112","Mais Globosat OTT","3.75 Mbps",0,0
"113","Mais Globosat OTT","4.25 Mbps",0,0
"114","Mais Globosat OTT","4.75 Mbps",24.49,12
"115","Mais Globosat OTT","5.25 Mbps",16.33,8
"116","Mais Globosat OTT","5.75 Mbps",0,0
"117","Mais Globosat OTT","6.25 Mbps",0,0
"118","Universal OTT","0.25 Mbps",0,0
"119","Universal OTT","0.75 Mbps",6.19,7
"120","Universal OTT","1.25 Mbps",17.7,20
"121","Universal OTT","1.75 Mbps",12.39,14
"122","Universal OTT","2.25 Mbps",37.17,42
"123","Universal OTT","2.75 Mbps",0,0
"124","Universal OTT","3.25 Mbps",1.77,2
"125","Universal OTT","3.75 Mbps",16.81,19
"126","Universal OTT","4.25 Mbps",0,0
"127","Universal OTT","4.75 Mbps",0,0
"128","Universal OTT","5.25 Mbps",7.96,9
"129","Universal OTT","5.75 Mbps",0,0
"130","Universal OTT","6.25 Mbps",0,0
"131","GNT OTT","0.25 Mbps",4.76,9
"132","GNT OTT","0.75 Mbps",13.76,26
"133","GNT OTT","1.25 Mbps",11.64,22
"134","GNT OTT","1.75 Mbps",0,0
"135","GNT OTT","2.25 Mbps",15.34,29
"136","GNT OTT","2.75 Mbps",0,0
"137","GNT OTT","3.25 Mbps",21.69,41
"138","GNT OTT","3.75 Mbps",0,0
"139","GNT OTT","4.25 Mbps",0,0
"140","GNT OTT","4.75 Mbps",20.11,38
"141","GNT OTT","5.25 Mbps",12.7,24
"142","GNT OTT","5.75 Mbps",0,0
"143","GNT OTT","6.25 Mbps",0,0
"144","SporTV OTT","0.25 Mbps",8.33,11
"145","SporTV OTT","0.75 Mbps",15.15,20
"146","SporTV OTT","1.25 Mbps",8.33,11
"147","SporTV OTT","1.75 Mbps",0,0
"148","SporTV OTT","2.25 Mbps",14.39,19
"149","SporTV OTT","2.75 Mbps",0,0
"150","SporTV OTT","3.25 Mbps",12.12,16
"151","SporTV OTT","3.75 Mbps",0,0
"152","SporTV OTT","4.25 Mbps",0,0
"153","SporTV OTT","4.75 Mbps",41.67,55
"154","SporTV OTT","5.25 Mbps",0,0
"155","SporTV OTT","5.75 Mbps",0,0
"156","SporTV OTT","6.25 Mbps",0,0
"157","TV Anhanguera - GO","0.25 Mbps",0,0
"158","TV Anhanguera - GO","0.75 Mbps",0,0
"159","TV Anhanguera - GO","1.25 Mbps",0,0
"160","TV Anhanguera - GO","1.75 Mbps",0,0
"161","TV Anhanguera - GO","2.25 Mbps",100,9
"162","TV Anhanguera - GO","2.75 Mbps",0,0
"163","TV Anhanguera - GO","3.25 Mbps",0,0
"164","TV Anhanguera - GO","3.75 Mbps",0,0
"165","TV Anhanguera - GO","4.25 Mbps",0,0
"166","TV Anhanguera - GO","4.75 Mbps",0,0
"167","TV Anhanguera - GO","5.25 Mbps",0,0
"168","TV Anhanguera - GO","5.75 Mbps",0,0
"169","TV Anhanguera - GO","6.25 Mbps",0,0
"170","Som Livre OTT","0.25 Mbps",0,0
"171","Som Livre OTT","0.75 Mbps",8,4
"172","Som Livre OTT","1.25 Mbps",14,7
"173","Som Livre OTT","1.75 Mbps",0,0
"174","Som Livre OTT","2.25 Mbps",10,5
"175","Som Livre OTT","2.75 Mbps",0,0
"176","Som Livre OTT","3.25 Mbps",40,20
"177","Som Livre OTT","3.75 Mbps",0,0
"178","Som Livre OTT","4.25 Mbps",0,0
"179","Som Livre OTT","4.75 Mbps",0,0
"180","Som Livre OTT","5.25 Mbps",28,14
"181","Som Livre OTT","5.75 Mbps",0,0
"182","Som Livre OTT","6.25 Mbps",0,0
"183","Futura OTT","0.25 Mbps",15.38,4
"184","Futura OTT","0.75 Mbps",23.08,6
"185","Futura OTT","1.25 Mbps",0,0
"186","Futura OTT","1.75 Mbps",0,0
"187","Futura OTT","2.25 Mbps",7.69,2
"188","Futura OTT","2.75 Mbps",0,0
"189","Futura OTT","3.25 Mbps",30.77,8
"190","Futura OTT","3.75 Mbps",0,0
"191","Futura OTT","4.25 Mbps",0,0
"192","Futura OTT","4.75 Mbps",23.08,6
"193","Futura OTT","5.25 Mbps",0,0
"194","Futura OTT","5.75 Mbps",0,0
"195","Futura OTT","6.25 Mbps",0,0
"196","TV Verdes Mares","0.25 Mbps",0,0
"197","TV Verdes Mares","0.75 Mbps",0,0
"198","TV Verdes Mares","1.25 Mbps",6.25,1
"199","TV Verdes Mares","1.75 Mbps",0,0
"200","TV Verdes Mares","2.25 Mbps",93.75,15
"201","TV Verdes Mares","2.75 Mbps",0,0
"202","TV Verdes Mares","3.25 Mbps",0,0
"203","TV Verdes Mares","3.75 Mbps",0,0
"204","TV Verdes Mares","4.25 Mbps",0,0
"205","TV Verdes Mares","4.75 Mbps",0,0
