"","canal","qualidade","percentual","impressoes"
"554","TV Gazeta - AL","3.75 Mbps",0,0
"555","TV Gazeta - AL","4.25 Mbps",0,0
"556","TV Gazeta - AL","4.75 Mbps",0,0
"557","TV Gazeta - AL","5.25 Mbps",0,0
"558","TV Gazeta - AL","5.75 Mbps",0,0
"559","TV Gazeta - AL","6.25 Mbps",0,0
"560","Inter TV RN","0.25 Mbps",0,0
"561","Inter TV RN","0.75 Mbps",0,0
"562","Inter TV RN","1.25 Mbps",25,1
"563","Inter TV RN","1.75 Mbps",0,0
"564","Inter TV RN","2.25 Mbps",75,3
"565","Inter TV RN","2.75 Mbps",0,0
"566","Inter TV RN","3.25 Mbps",0,0
"567","Inter TV RN","3.75 Mbps",0,0
"568","Inter TV RN","4.25 Mbps",0,0
"569","Inter TV RN","4.75 Mbps",0,0
"570","Inter TV RN","5.25 Mbps",0,0
"571","Inter TV RN","5.75 Mbps",0,0
"572","Inter TV RN","6.25 Mbps",0,0
"573","VIVA","0.25 Mbps",0,0
"574","VIVA","0.75 Mbps",0,0
"575","VIVA","1.25 Mbps",11.11,1
"576","VIVA","1.75 Mbps",0,0
"577","VIVA","2.25 Mbps",33.33,3
"578","VIVA","2.75 Mbps",0,0
"579","VIVA","3.25 Mbps",55.56,5
"580","VIVA","3.75 Mbps",0,0
"581","VIVA","4.25 Mbps",0,0
"582","VIVA","4.75 Mbps",0,0
"583","VIVA","5.25 Mbps",0,0
"584","VIVA","5.75 Mbps",0,0
"585","VIVA","6.25 Mbps",0,0
"586","TV Vanguarda (SP)","0.25 Mbps",0,0
"587","TV Vanguarda (SP)","0.75 Mbps",0,0
"588","TV Vanguarda (SP)","1.25 Mbps",0,0
"589","TV Vanguarda (SP)","1.75 Mbps",0,0
"590","TV Vanguarda (SP)","2.25 Mbps",100,1
"591","TV Vanguarda (SP)","2.75 Mbps",0,0
"592","TV Vanguarda (SP)","3.25 Mbps",0,0
"593","TV Vanguarda (SP)","3.75 Mbps",0,0
"594","TV Vanguarda (SP)","4.25 Mbps",0,0
"595","TV Vanguarda (SP)","4.75 Mbps",0,0
"596","TV Vanguarda (SP)","5.25 Mbps",0,0
"597","TV Vanguarda (SP)","5.75 Mbps",0,0
"598","TV Vanguarda (SP)","6.25 Mbps",0,0
"599","Rede Paraíba","0.25 Mbps",0,0
"600","Rede Paraíba","0.75 Mbps",50,1
"601","Rede Paraíba","1.25 Mbps",50,1
"602","Rede Paraíba","1.75 Mbps",0,0
"603","Rede Paraíba","2.25 Mbps",0,0
"604","Rede Paraíba","2.75 Mbps",0,0
"605","Rede Paraíba","3.25 Mbps",0,0
"606","Rede Paraíba","3.75 Mbps",0,0
"607","Rede Paraíba","4.25 Mbps",0,0
"608","Rede Paraíba","4.75 Mbps",0,0
"609","Rede Paraíba","5.25 Mbps",0,0
"610","Rede Paraíba","5.75 Mbps",0,0
"611","Rede Paraíba","6.25 Mbps",0,0
"612","Rede Clube","0.25 Mbps",0,0
"613","Rede Clube","0.75 Mbps",0,0
"614","Rede Clube","1.25 Mbps",100,1
"615","Rede Clube","1.75 Mbps",0,0
"616","Rede Clube","2.25 Mbps",0,0
"617","Rede Clube","2.75 Mbps",0,0
"618","Rede Clube","3.25 Mbps",0,0
"619","Rede Clube","3.75 Mbps",0,0
"620","Rede Clube","4.25 Mbps",0,0
"621","Rede Clube","4.75 Mbps",0,0
"622","Rede Clube","5.25 Mbps",0,0
"623","Rede Clube","5.75 Mbps",0,0
"624","Rede Clube","6.25 Mbps",0,0
"625","TV Asa Branca - PE","0.25 Mbps",0,0
"626","TV Asa Branca - PE","0.75 Mbps",100,2
"627","TV Asa Branca - PE","1.25 Mbps",0,0
"628","TV Asa Branca - PE","1.75 Mbps",0,0
"629","TV Asa Branca - PE","2.25 Mbps",0,0
"630","TV Asa Branca - PE","2.75 Mbps",0,0
"631","TV Asa Branca - PE","3.25 Mbps",0,0
"632","TV Asa Branca - PE","3.75 Mbps",0,0
"633","TV Asa Branca - PE","4.25 Mbps",0,0
"634","TV Asa Branca - PE","4.75 Mbps",0,0
"635","TV Asa Branca - PE","5.25 Mbps",0,0
"636","TV Asa Branca - PE","5.75 Mbps",0,0
"637","TV Asa Branca - PE","6.25 Mbps",0,0
"638","Gloobinho","0.25 Mbps",0,0
"639","Gloobinho","0.75 Mbps",0,0
"640","Gloobinho","1.25 Mbps",33.33,1
"641","Gloobinho","1.75 Mbps",0,0
"642","Gloobinho","2.25 Mbps",66.67,2
"643","Gloobinho","2.75 Mbps",0,0
"644","Gloobinho","3.25 Mbps",0,0
"645","Gloobinho","3.75 Mbps",0,0
"646","Gloobinho","4.25 Mbps",0,0
"647","Gloobinho","4.75 Mbps",0,0
"648","Gloobinho","5.25 Mbps",0,0
"649","Gloobinho","5.75 Mbps",0,0
"650","Gloobinho","6.25 Mbps",0,0
"651","TV Centro América","0.25 Mbps",0,0
"652","TV Centro América","0.75 Mbps",100,1
"653","TV Centro América","1.25 Mbps",0,0
"654","TV Centro América","1.75 Mbps",0,0
"655","TV Centro América","2.25 Mbps",0,0
"656","TV Centro América","2.75 Mbps",0,0
"657","TV Centro América","3.25 Mbps",0,0
"658","TV Centro América","3.75 Mbps",0,0
"659","TV Centro América","4.25 Mbps",0,0
"660","TV Centro América","4.75 Mbps",0,0
"661","TV Centro América","5.25 Mbps",0,0
"662","TV Centro América","5.75 Mbps",0,0
"663","TV Centro América","6.25 Mbps",0,0
"664","Rede Amazônica AM","0.25 Mbps",0,0
"665","Rede Amazônica AM","0.75 Mbps",50,2
"666","Rede Amazônica AM","1.25 Mbps",0,0
"667","Rede Amazônica AM","1.75 Mbps",0,0
"668","Rede Amazônica AM","2.25 Mbps",50,2
"669","Rede Amazônica AM","2.75 Mbps",0,0
"670","Rede Amazônica AM","3.25 Mbps",0,0
"671","Rede Amazônica AM","3.75 Mbps",0,0
"672","Rede Amazônica AM","4.25 Mbps",0,0
"673","Rede Amazônica AM","4.75 Mbps",0,0
"674","Rede Amazônica AM","5.25 Mbps",0,0
"675","Rede Amazônica AM","5.75 Mbps",0,0
"676","Rede Amazônica AM","6.25 Mbps",0,0
