"","device","player","player_dev","qualidade","percentual","impressoes"
"76","tv","tcl","tcl_tv","5.25 Mbps",3.74,7
"77","tv","tcl","tcl_tv","5.75 Mbps",0,0
"78","tv","tcl","tcl_tv","6.25 Mbps",0,0
"79","tv","sony","sony_tv","0.25 Mbps",3.15,7
"80","tv","sony","sony_tv","0.75 Mbps",13.96,31
"81","tv","sony","sony_tv","1.25 Mbps",15.32,34
"82","tv","sony","sony_tv","1.75 Mbps",0.45,1
"83","tv","sony","sony_tv","2.25 Mbps",32.88,73
"84","tv","sony","sony_tv","2.75 Mbps",0,0
"85","tv","sony","sony_tv","3.25 Mbps",12.16,27
"86","tv","sony","sony_tv","3.75 Mbps",4.95,11
"87","tv","sony","sony_tv","4.25 Mbps",0,0
"88","tv","sony","sony_tv","4.75 Mbps",13.06,29
"89","tv","sony","sony_tv","5.25 Mbps",4.05,9
"90","tv","sony","sony_tv","5.75 Mbps",0,0
"91","tv","sony","sony_tv","6.25 Mbps",0,0
"92","tv","tvos","tvos_tv","0.25 Mbps",2.13,2
"93","tv","tvos","tvos_tv","0.75 Mbps",6.38,6
"94","tv","tvos","tvos_tv","1.25 Mbps",12.77,12
"95","tv","tvos","tvos_tv","1.75 Mbps",1.06,1
"96","tv","tvos","tvos_tv","2.25 Mbps",19.15,18
"97","tv","tvos","tvos_tv","2.75 Mbps",0,0
"98","tv","tvos","tvos_tv","3.25 Mbps",22.34,21
"99","tv","tvos","tvos_tv","3.75 Mbps",0,0
"100","tv","tvos","tvos_tv","4.25 Mbps",0,0
"101","tv","tvos","tvos_tv","4.75 Mbps",28.72,27
"102","tv","tvos","tvos_tv","5.25 Mbps",7.45,7
"103","tv","tvos","tvos_tv","5.75 Mbps",0,0
"104","tv","tvos","tvos_tv","6.25 Mbps",0,0
"105","tv","orsay","orsay_tv","0.25 Mbps",3.05,43
"106","tv","orsay","orsay_tv","0.75 Mbps",12.07,170
"107","tv","orsay","orsay_tv","1.25 Mbps",14.83,209
"108","tv","orsay","orsay_tv","1.75 Mbps",0.85,12
"109","tv","orsay","orsay_tv","2.25 Mbps",25.62,361
"110","tv","orsay","orsay_tv","2.75 Mbps",0,0
"111","tv","orsay","orsay_tv","3.25 Mbps",16.39,231
"112","tv","orsay","orsay_tv","3.75 Mbps",3.62,51
"113","tv","orsay","orsay_tv","4.25 Mbps",0,0
"114","tv","orsay","orsay_tv","4.75 Mbps",16.47,232
"115","tv","orsay","orsay_tv","5.25 Mbps",7.1,100
"116","tv","orsay","orsay_tv","5.75 Mbps",0,0
"117","tv","orsay","orsay_tv","6.25 Mbps",0,0
"118","tv","tizen","tizen_tv","0.25 Mbps",4.32,7
"119","tv","tizen","tizen_tv","0.75 Mbps",9.88,16
"120","tv","tizen","tizen_tv","1.25 Mbps",11.73,19
"121","tv","tizen","tizen_tv","1.75 Mbps",1.23,2
"122","tv","tizen","tizen_tv","2.25 Mbps",24.07,39
"123","tv","tizen","tizen_tv","2.75 Mbps",0,0
"124","tv","tizen","tizen_tv","3.25 Mbps",16.67,27
"125","tv","tizen","tizen_tv","3.75 Mbps",4.94,8
"126","tv","tizen","tizen_tv","4.25 Mbps",0,0
"127","tv","tizen","tizen_tv","4.75 Mbps",20.99,34
"128","tv","tizen","tizen_tv","5.25 Mbps",6.17,10
"129","tv","tizen","tizen_tv","5.75 Mbps",0,0
"130","tv","tizen","tizen_tv","6.25 Mbps",0,0
"131","tv","webos","webos_tv","0.25 Mbps",3.04,34
"132","tv","webos","webos_tv","0.75 Mbps",11.07,124
"133","tv","webos","webos_tv","1.25 Mbps",13.66,153
"134","tv","webos","webos_tv","1.75 Mbps",0.89,10
"135","tv","webos","webos_tv","2.25 Mbps",24.2,271
"136","tv","webos","webos_tv","2.75 Mbps",0.09,1
"137","tv","webos","webos_tv","3.25 Mbps",19.02,213
"138","tv","webos","webos_tv","3.75 Mbps",2.77,31
"139","tv","webos","webos_tv","4.25 Mbps",0.62,7
"140","tv","webos","webos_tv","4.75 Mbps",19.2,215
"141","tv","webos","webos_tv","5.25 Mbps",5.18,58
"142","tv","webos","webos_tv","5.75 Mbps",0,0
"143","tv","webos","webos_tv","6.25 Mbps",0.27,3
"144","desktop","safari","safari_desktop","0.25 Mbps",4.32,8
