"","ga_pais","ga_estado","ga_cidade","player","device","canal","programa","qualidade","mes"
"482","Brazil","State of Rio de Janeiro","Rio de Janeiro","mirakulo_teleidea","desktop","Rede Globo","Globoplay Ao Vivo",2359000,202012
"1605","Brazil","State of Rio de Janeiro","Rio de Janeiro","mirakulo_teleidea","desktop","Multishow OTT","Multishow Ao Vivo",4783000,202012
"2247","Brazil","State of Rio de Janeiro","Rio de Janeiro","mirakulo_teleidea","desktop","GloboNews OTT","GloboNews Ao Vivo",4783000,202012
"3393","Brazil","State of Ceara","Juazeiro do Norte","ios","desktop","Globoplay OTT","Programas Institucionais",5189000,202012
"3625","Brazil","State of Rondonia","Porto Velho","ios","desktop","Globoplay OTT","The Big Bang Theory",3164001,202012
"3803","Brazil","State of Rio Grande do Sul","Gravatai","ios","desktop","Rede Globo","A Força do Querer - Edição Especial",5056000,202012
"3925","Brazil","State of Para","(not set)","ios","desktop","Rede Globo","Tamanho Família",940000,202012
"4042","Brazil","State of Rio de Janeiro","Itaborai","ios","desktop","Rede Globo","Globoplay Ao Vivo",1573000,202012
"4453","Brazil","State of Espirito Santo","Vitoria","ios","desktop","Rede Globo","Cinema",2061000,202012
"4587","Brazil","State of Rio de Janeiro","Macae","ios","desktop","Rede Globo","A Força do Querer",5087000,202012
"4685","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","One Tree Hill: Lances da Vida",4916000,202012
"4726","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Rede Globo","Simples Assim",5186000,202012
"4785","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","GNT OTT","GNT Ao Vivo",4783000,202012
"4836","Brazil","State of Acre","Rio Branco","ios","desktop","Globoplay OTT","The Big Bang Theory",1221002,202012
"4843","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","The Office",2085000,202012
"4908","Brazil","State of Santa Catarina","Florianopolis","ios","desktop","Globoplay OTT","Dexter",4786000,202012
"4945","Brazil","State of Santa Catarina","Palhoca","ios","desktop","Rede Globo","Globoplay Ao Vivo",2359000,202012
"4973","Brazil","State of Rio de Janeiro","Petropolis","ios","desktop","Globoplay OTT","Prison Break: Em Busca da Verdade",1350001,202012
"5011","Brazil","State of Rio Grande do Sul","Porto Alegre","ios","desktop","Som Livre OTT","Tardezinha no Maraca",5080000,202012
"5034","Brazil","State of Maranhao","Sao Luis","ios","desktop","Viva OTT","Escolinha do Professor Raimundo",2216000,202012
"5120","Brazil","State of Sao Paulo","Itapetininga","ios","desktop","Rede Globo","Globoplay Ao Vivo",655000,202012
"5234","Brazil","State of Para","(not set)","ios","desktop","Rede Globo","Encontro com Fátima Bernardes",3513000,202012
"5472","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","Verdades Secretas",2217000,202012
"5496","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","A Força do Querer",701000,202012
"5497","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","Globoplay Ao Vivo",410000,202012
"5682","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","The Handmaid's Tale - O Conto da Aia",756000,202012
"5749","Brazil","State of Espirito Santo","Vitoria","ios","desktop","Multishow OTT","Multishow Ao Vivo",1417000,202012
"6035","Brazil","State of Minas Gerais","Contagem","ios","desktop","Rede Globo","Globoplay Ao Vivo",1049000,202012
"6089","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","GloboNews OTT","GloboNews Ao Vivo",4783000,202012
"6116","Brazil","State of Rio de Janeiro","Marica","ios","desktop","Rede Globo","Laços de Família – Vale a Pena Ver de Novo",5265000,202012
"6122","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","The Office",2086002,202012
"6183","Brazil","State of Santa Catarina","Florianopolis","ios","desktop","GloboNews OTT","GloboNews Ao Vivo",554000,202012
"6233","Brazil","State of Rio de Janeiro","Petropolis","ios","desktop","Globoplay OTT","Prison Break: Em Busca da Verdade",2217001,202012
"6244","Brazil","State of Minas Gerais","Timoteo","ios","desktop","Globoplay OTT","Filho Pródigo",1349000,202012
"6326","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","Desalma",4910000,202012
"6343","Brazil","State of Sao Paulo","Itapetininga","ios","desktop","Globoplay OTT","Hospital New Amsterdam",3165000,202012
"6421","Brazil","State of Amazonas","Manaus","ios","desktop","Rede Globo","Verdades Secretas",2219000,202012
"6740","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","Globoplay Ao Vivo",176000,202012
"7002","Brazil","State of Sao Paulo","Indaiatuba","ios","desktop","GNT OTT","Que história é essa, Porchat?",5077000,202012
"7003","Brazil","State of Sao Paulo","Indaiatuba","ios","desktop","GNT OTT","GNT Ao Vivo",3189000,202012
"7100","Brazil","State of Bahia","Salvador","ios","desktop","Rede Globo","Jornal da Globo",2230000,202012
"7101","Brazil","State of Bahia","Salvador","ios","desktop","Rede Globo","Cinema",1221000,202012
"7198","Brazil","State of Pernambuco","Recife","ios","desktop","Rede Globo","Cinema",2088000,202012
"7293","Brazil","Federal District","Brasilia","ios","desktop","Globoplay OTT","Chicago Fire",2087001,202012
"7384","Brazil","State of Sao Paulo","Santo Andre","ios","desktop","Rede Globo","As Five",4989000,202012
"7431","Brazil","State of Rondonia","Porto Velho","ios","desktop","Globoplay OTT","The Big Bang Theory",488001,202012
"7457","Brazil","State of Espirito Santo","Vila Velha","ios","desktop","Rede Globo","The Voice Brasil",3522000,202012
"7648","Brazil","State of Sao Paulo","Santo Andre","ios","desktop","Rede Globo","O Clone",3358000,202012
"8087","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Globoplay OTT","Hospital New Amsterdam",4788001,202012
"8372","Brazil","State of Bahia","Salvador","ios","desktop","Rede Globo","Kubanacan",5214000,202012
"8414","Brazil","State of Bahia","Salvador","ios","desktop","Rede Globo","Jornal da Globo",2245000,202012
"8415","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","Hospital New Amsterdam",4782000,202012
"8456","Brazil","State of Sao Paulo","Mairipora","ios","desktop","Rede Globo","Globoplay Ao Vivo",655000,202012
"8461","Brazil","State of Sao Paulo","Santos","ios","desktop","Rede Globo","Cinema",3166000,202012
"8531","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","One Tree Hill: Lances da Vida",1350000,202012
"8593","Brazil","State of Espirito Santo","Vitoria","ios","desktop","Rede Globo","Globoplay Ao Vivo",1573000,202012
"8667","Brazil","State of Sao Paulo","Santo Andre","ios","desktop","Rede Globo","As Five",784000,202012
"8675","Brazil","State of Acre","Rio Branco","ios","desktop","Globoplay OTT","The Big Bang Theory",2088001,202012
"8718","Brazil","State of Rondonia","Porto Velho","ios","desktop","Globoplay OTT","The Big Bang Theory",4785003,202012
"8769","Brazil","State of Parana","Curitiba","ios","desktop","Rede Globo","Toma Lá Dá Cá",2215000,202012
"8790","Brazil","State of Sao Paulo","Mogi das Cruzes","ios","desktop","Rede Globo","A Força do Querer",5076000,202012
"8885","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","Desalma",3209000,202012
"8901","Brazil","State of Sao Paulo","Santos","ios","desktop","Rede Globo","Laços de Família – Vale a Pena Ver de Novo",5255000,202012
"8905","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Globoplay OTT","The Big Bang Theory",4783003,202012
"8946","Brazil","State of Sao Paulo","Porto Feliz","ios","desktop","Rede Globo","Globoplay Ao Vivo",1573000,202012
"9026","Brazil","State of Para","(not set)","ios","desktop","Rede Globo","Cinema",2089000,202012
"9147","Brazil","State of Sao Paulo","(not set)","ios","desktop","Rede Globo","Globoplay Ao Vivo",410000,202012
"9315","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Rede Globo","The Voice Brasil",3522000,202012
"9317","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Rede Globo","The Voice Brasil",2218000,202012
"9799","Brazil","Federal District","Brasilia","ios","desktop","Globoplay OTT","Chicago Fire",1221001,202012
"9937","Brazil","State of Rondonia","Porto Velho","ios","desktop","Globoplay OTT","The Big Bang Theory",4783003,202012
"9951","Brazil","State of Santa Catarina","Florianopolis","ios","desktop","Globoplay OTT","Dexter",2089000,202012
"10101","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","Laços de Família – Vale a Pena Ver de Novo",5211000,202012
"10132","Brazil","State of Sao Paulo","Itapetininga","ios","desktop","Rede Globo","Globoplay Ao Vivo",176000,202012
"10176","Brazil","State of Sao Paulo","Pompeia","ios","desktop","Globoplay OTT","Hospital New Amsterdam",2089000,202012
"10244","Brazil","State of Para","(not set)","ios","desktop","Rede Globo","Tamanho Família",1433000,202012
"10507","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","A Força do Querer",2148000,202012
"10891","Brazil","State of Pernambuco","Recife","ios","desktop","Rede Globo","Globoplay Ao Vivo",2359000,202012
"11038","Brazil","Federal District","Brasilia","ios","desktop","Rede Globo","Globoplay Ao Vivo",256000,202012
"11060","Brazil","Federal District","Brasilia","ios","desktop","Globoplay OTT","Chicago Fire",3161000,202012
"11145","Brazil","State of Sao Paulo","Mirassol","ios","desktop","Rede Globo","Malhação - Viva a Diferença",3496000,202012
"11159","Brazil","State of Rio de Janeiro","Marica","ios","desktop","Rede Globo","Laços de Família – Vale a Pena Ver de Novo",5241000,202012
"11207","Brazil","State of Rondonia","Porto Velho","ios","desktop","Globoplay OTT","The Big Bang Theory",4781001,202012
"11208","Brazil","State of Rondonia","Porto Velho","ios","desktop","Globoplay OTT","The Big Bang Theory",2087002,202012
"11209","Brazil","State of Rondonia","Porto Velho","ios","desktop","Globoplay OTT","The Big Bang Theory",4787000,202012
"11271","Brazil","State of Minas Gerais","(not set)","ios","desktop","Rede Globo","Fantástico",1195000,202012
"11277","Brazil","State of Rio de Janeiro","Niteroi","ios","desktop","Rede Globo","A Força do Querer",5082000,202012
"11288","Brazil","State of Rio de Janeiro","Petropolis","ios","desktop","Globoplay OTT","Prison Break: Em Busca da Verdade",2217002,202012
"11289","Brazil","State of Sao Paulo","Mogi das Cruzes","ios","desktop","Rede Globo","A Força do Querer",5084000,202012
"11360","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","Programas Institucionais",1436000,202012
"11412","Brazil","Federal District","Brasilia","ios","desktop","Rede Globo","Laços de Família",2216000,202012
"11829","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","A Força do Querer",748000,202012
"11838","Brazil","State of Rio Grande do Sul","Caxias do Sul","ios","desktop","Viva OTT","VIVA Ao Vivo",4783000,202012
"12002","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","Haja Coração - Edição Especial",5161000,202012
"12196","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","FBI",1220000,202012
"12203","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","O Clube das Divorciadas",4788000,202012
"12255","Brazil","State of Minas Gerais","Manhuacu","ios","desktop","Globoplay OTT","Modern Family",1221001,202012
"12265","Brazil","State of Sao Paulo","Santos","ios","desktop","Rede Globo","Globoplay Ao Vivo",176000,202012
"12535","Brazil","State of Rondonia","Porto Velho","ios","desktop","Globoplay OTT","The Big Bang Theory",3164003,202012
"12604","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","A Força do Querer",5085000,202012
"12647","Brazil","State of Rio de Janeiro","Duque de Caxias","ios","desktop","Globoplay OTT","Manifest - O Mistério do Voo 828",3293000,202012
"12702","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","Desalma",4937000,202012
"12703","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","Desalma",4911000,202012
"12708","Brazil","State of Rio Grande do Sul","Gravatai","ios","desktop","Rede Globo","A Força do Querer - Edição Especial",5095000,202012
"12845","Brazil","State of Para","(not set)","ios","desktop","Rede Globo","Tamanho Família",2354000,202012
"12907","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Rede Globo","Globoplay Ao Vivo",176000,202012
"13065","Brazil","State of Sao Paulo","Sao Jose do Rio Preto","ios","desktop","Rede Globo","Globoplay Ao Vivo",2359000,202012
"13143","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","A Força do Querer",2218000,202012
"13428","Brazil","State of Rio de Janeiro","Niteroi","ios","desktop","Globoplay OTT","Por um Respiro",3356000,202012
"13745","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","A Força do Querer",5215000,202012
"13795","Brazil","State of Ceara","Fortaleza","ios","desktop","Multishow OTT","Tô de Graça",5214000,202012
"13882","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Rede Globo","Laços de Família – Vale a Pena Ver de Novo",921000,202012
"13918","Brazil","State of Minas Gerais","Belo Horizonte","ios","desktop","Globoplay OTT","The Big Bang Theory",4782001,202012
"13938","Brazil","State of Rio de Janeiro","Duque de Caxias","ios","desktop","Globoplay OTT","Manifest - O Mistério do Voo 828",4914000,202012
"13955","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","Premiere no Globoplay",4783000,202012
"13998","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","Desalma",3194000,202012
"14091","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","A Força do Querer",5083000,202012
"14146","Brazil","State of Para","(not set)","ios","desktop","Rede Globo","Encontro com Fátima Bernardes",933000,202012
"14669","Brazil","State of Espirito Santo","Vitoria","ios","desktop","Rede Globo","Cinema",1202000,202012
"14758","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","Todo Mundo Odeia o Chris",1186588,202012
"14788","Brazil","State of Ceara","Maracanau","ios","desktop","Rede Globo","Premiere no Globoplay",4783000,202012
"14902","Brazil","State of Sao Paulo","Sao Jose do Rio Preto","ios","desktop","Globoplay OTT","H2O Meninas Sereias",2089000,202012
"15094","Brazil","State of Rondonia","Porto Velho","ios","desktop","Globoplay OTT","The Big Bang Theory",4781002,202012
"15145","Brazil","State of Rio de Janeiro","Marica","ios","desktop","Globoplay OTT","Programas Institucionais",5228000,202012
"15161","Brazil","State of Rio de Janeiro","Petropolis","ios","desktop","Globoplay OTT","Prison Break: Em Busca da Verdade",4916001,202012
"15162","Brazil","State of Sao Paulo","Mogi das Cruzes","ios","desktop","Rede Globo","A Força do Querer",1296000,202012
"15163","Brazil","State of Sao Paulo","Mogi das Cruzes","ios","desktop","Rede Globo","A Força do Querer",1298000,202012
"15201","Brazil","State of Minas Gerais","Belo Horizonte","ios","desktop","Globoplay OTT","The Big Bang Theory",2088001,202012
"15279","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","Prison Break: Em Busca da Verdade",4915000,202012
"15405","Brazil","State of Rio de Janeiro","Mage","ios","desktop","Rede Globo","Flor do Caribe - Edição Especial",5192000,202012
"15551","Brazil","State of Sao Paulo","(not set)","ios","desktop","Rede Globo","Globoplay Ao Vivo",256000,202012
"15608","Brazil","State of Rio de Janeiro","Sao Goncalo","ios","desktop","Globoplay OTT","Hospital New Amsterdam",3163001,202012
"15837","Brazil","State of Ceara","Fortaleza","ios","desktop","Rede Globo","Globoplay Ao Vivo",2359000,202012
"15916","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","The Handmaid's Tale - O Conto da Aia",1221000,202012
"15995","Brazil","State of Sao Paulo","Indaiatuba","ios","desktop","GNT OTT","Que história é essa, Porchat?",1296000,202012
"16107","Brazil","State of Ceara","Maracanau","ios","desktop","Rede Globo","Premiere no Globoplay",554000,202012
"16134","Brazil","State of Sao Paulo","Campinas","ios","desktop","Rede Globo","Globoplay Ao Vivo",1573000,202012
"16445","Brazil","State of Santa Catarina","Florianopolis","ios","desktop","Globoplay OTT","Dexter",3165000,202012
"16504","Brazil","State of Rio de Janeiro","Petropolis","ios","desktop","Globoplay OTT","Prison Break: Em Busca da Verdade",2217000,202012
"16607","Brazil","Federal District","Brasilia","ios","desktop","Rede Globo","Globoplay Ao Vivo",1417000,202012
"16753","Brazil","State of Rio de Janeiro","Niteroi","ios","desktop","Rede Globo","Jornal Nacional",2217000,202012
"16781","Brazil","State of Para","(not set)","ios","desktop","Rede Globo","Encontro com Fátima Bernardes",3510000,202012
"16902","Brazil","State of Rio de Janeiro","Itaborai","ios","desktop","Rede Globo","Globoplay Ao Vivo",176000,202012
"16948","Brazil","State of Sao Paulo","Sao Caetano do Sul","ios","desktop","Rede Globo","Globoplay Ao Vivo",2359000,202012
"17060","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","A Força do Querer",2153000,202012
"17096","Brazil","State of Parana","Curitiba","ios","desktop","Rede Globo","Globoplay Ao Vivo",176000,202012
"17496","Brazil","State of Pernambuco","Recife","ios","desktop","Rede Globo","Globoplay Ao Vivo",1417000,202012
"17526","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","One Tree Hill: Lances da Vida",3294000,202012
"17608","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Viva OTT","Chocolate com Pimenta",5077000,202012
"17652","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","Hospital New Amsterdam",4782001,202012
"17666","Brazil","State of Rio de Janeiro","Seropedica","ios","desktop","Rede Globo","Globoplay Ao Vivo",176000,202012
"17671","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","Hospital New Amsterdam",3163001,202012
"17743","Brazil","State of Ceara","Fortaleza","ios","desktop","Rede Globo","Laços de Família",2188000,202012
"17745","Brazil","Federal District","Brasilia","ios","desktop","Rede Globo","Da Cor do Pecado",929000,202012
"17780","Brazil","State of Rio de Janeiro","Petropolis","ios","desktop","Globoplay OTT","Prison Break: Em Busca da Verdade",1349001,202012
"17916","Brazil","State of Sao Paulo","Itapetininga","ios","desktop","Globoplay OTT","FBI",3290001,202012
"17936","Brazil","State of Sao Paulo","Santo Andre","ios","desktop","Rede Globo","Velho Chico",2217000,202012
"18548","Brazil","State of Rio de Janeiro","Duque de Caxias","ios","desktop","Rede Globo","Globoplay Ao Vivo",655000,202012
"18588","Brazil","State of Sao Paulo","(not set)","ios","desktop","Globoplay OTT","Programas Institucionais",5228000,202012
"18606","Brazil","State of Rio de Janeiro","Niteroi","ios","desktop","Globoplay OTT","Por um Respiro",3355000,202012
"18607","Brazil","State of Rio de Janeiro","Niteroi","ios","desktop","Globoplay OTT","Por um Respiro",5074000,202012
"18671","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","Todo Mundo Odeia o Chris",3089588,202012
"18838","Brazil","Federal District","Brasilia","ios","desktop","Globoplay OTT","Chicago Fire",1220000,202012
"18931","Brazil","State of Sao Paulo","Hortolandia","ios","desktop","Rede Globo","Globoplay Ao Vivo",256000,202012
"19061","Brazil","State of Rio de Janeiro","Niteroi","ios","desktop","Rede Globo","Haja Coração - Edição Especial",5159000,202012
"19062","Brazil","State of Santa Catarina","Blumenau","ios","desktop","Rede Globo","A Força do Querer - Edição Especial",5082000,202012
"19081","Brazil","State of Pernambuco","Recife","ios","desktop","Rede Globo","As Five",5004000,202012
"19192","Brazil","Federal District","Brasilia","ios","desktop","Rede Globo","Laços de Família",2215000,202012
"19193","Brazil","Federal District","Brasilia","ios","desktop","Globoplay OTT","The Affair - Infidelidade",4786000,202012
"19315","Brazil","State of Amazonas","Manaus","ios","desktop","Globoplay OTT","Chicago P.D.: Distrito 21",2087000,202012
"19376","Brazil","State of Sao Paulo","Sao Jose dos Campos","ios","desktop","Globoplay OTT","The Good Doctor - O Bom Doutor",3162000,202012
"19585","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","A Força do Querer",1191000,202012
"19586","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","A Força do Querer",476000,202012
"19932","Brazil","State of Santa Catarina","Florianopolis","ios","desktop","GNT OTT","Vitória: A Vida de uma Rainha",4915001,202012
"20071","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Rede Globo","Verdades Secretas",2218000,202012
"20173","Brazil","Federal District","Brasilia","ios","desktop","Rede Globo","Globoplay Ao Vivo",655000,202012
"20260","Brazil","State of Rondonia","Porto Velho","ios","desktop","Globoplay OTT","The Big Bang Theory",4785002,202012
"20261","Brazil","State of Rondonia","Porto Velho","ios","desktop","Globoplay OTT","The Big Bang Theory",3164000,202012
"20335","Brazil","State of Minas Gerais","Timoteo","ios","desktop","Rede Globo","Globoplay Ao Vivo",1417000,202012
"20342","Brazil","State of Pernambuco","Recife","ios","desktop","Globoplay OTT","The Good Doctor - O Bom Doutor",3162000,202012
"20435","Brazil","Federal District","Brasilia","ios","desktop","Globoplay OTT","The Affair - Infidelidade",4785000,202012
"20531","Brazil","Federal District","Brasilia","ios","desktop","Rede Globo","Cinema",1221000,202012
"20599","Brazil","State of Minas Gerais","Juiz de Fora","ios","desktop","Rede Globo","Cinema",3166000,202012
"20745","Brazil","State of Sao Paulo","Votorantim","ios","desktop","Rede Globo","Premiere no Globoplay",4783000,202012
"21124","Brazil","State of Sao Paulo","(not set)","ios","desktop","Rede Globo","As Five",2126000,202012
"21177","Brazil","State of Rio de Janeiro","Sao Joao de Meriti","ios","desktop","Rede Globo","Globoplay Ao Vivo",2359000,202012
"21456","Brazil","State of Rio Grande do Sul","Porto Alegre","ios","desktop","Rede Globo","Globoplay Ao Vivo",2126000,202012
"21703","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Rede Globo","A Força do Querer - Edição Especial",5082000,202012
"21744","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Globoplay OTT","The Big Bang Theory",2088002,202012
"21787","Brazil","State of Minas Gerais","(not set)","ios","desktop","Rede Globo","Globoplay Ao Vivo",176000,202012
"21832","Brazil","State of Rio de Janeiro","Niteroi","ios","desktop","Globoplay OTT","Programas Institucionais",3501000,202012
"21864","Brazil","State of Minas Gerais","Belo Horizonte","ios","desktop","Rede Globo","Globoplay Ao Vivo",2359000,202012
"21865","Brazil","State of Minas Gerais","Belo Horizonte","ios","desktop","Rede Globo","A Grande Família",2219000,202012
"21902","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","Globoplay Ao Vivo",2359000,202012
"21907","Brazil","State of Minas Gerais","Belo Horizonte","ios","desktop","Rede Globo","Globoplay Ao Vivo",410000,202012
"22014","Brazil","State of Rio de Janeiro","Niteroi","ios","desktop","Rede Globo","Globoplay Ao Vivo",2359000,202012
"22306","Brazil","State of Sergipe","Itabaiana","ios","desktop","Multishow OTT","Multishow Ao Vivo",3189000,202012
"22452","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","Manifest - O Mistério do Voo 828",487000,202012
"22601","Brazil","State of Ceara","Maracanau","ios","desktop","Universal OTT","Coroner",5215000,202012
"22643","Brazil","Federal District","Brasilia","ios","desktop","Globoplay OTT","Chicago Fire",4777000,202012
"22748","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","Jornal Nacional",1193000,202012
"22752","Brazil","State of Rio de Janeiro","Marica","ios","desktop","Rede Globo","Laços de Família – Vale a Pena Ver de Novo",5211000,202012
"22876","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Rede Globo","Laços de Família – Vale a Pena Ver de Novo",3516000,202012
"22877","Brazil","State of Piaui","Parnaiba","ios","desktop","Rede Globo","Premiere no Globoplay",346000,202012
"23323","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Globoplay OTT","Um Milhão de Coisas - A Million Little Things",2089001,202012
"23600","Brazil","State of Sao Paulo","Indaiatuba","ios","desktop","GNT OTT","GNT Ao Vivo",554000,202012
"23711","Brazil","State of Sao Paulo","Pirassununga","ios","desktop","Rede Globo","Globoplay Ao Vivo",2359000,202012
"23924","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","A Força do Querer",3539000,202012
"23957","Brazil","State of Parana","Curitiba","ios","desktop","Rede Globo","Globoplay Ao Vivo",655000,202012
"23994","Brazil","State of Rondonia","Porto Velho","ios","desktop","Globoplay OTT","The Big Bang Theory",488000,202012
"24153","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","Prison Break: Em Busca da Verdade",3291000,202012
"24221","Brazil","State of Sao Paulo","Americana","ios","desktop","Globoplay OTT","Wolfblood: Família Lobo",4784001,202012
"24365","Brazil","State of Minas Gerais","Belo Horizonte","ios","desktop","Rede Globo","Globoplay Ao Vivo",1049000,202012
"24394","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Rede Globo","Domingão do Faustão",2359000,202012
"24507","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Globoplay OTT","Um Milhão de Coisas - A Million Little Things",756000,202012
"24577","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","A Força do Querer",399000,202012
"24843","Brazil","State of Rio de Janeiro","Sao Goncalo","ios","desktop","Rede Globo","O Cravo e a Rosa",927000,202012
"25089","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Rede Globo","Altas Horas",3542000,202012
"25163","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","A Força do Querer",2337000,202012
"25179","Brazil","State of Acre","Rio Branco","ios","desktop","Globoplay OTT","The Big Bang Theory",1222000,202012
"25196","Brazil","State of Parana","Curitiba","ios","desktop","GloboNews OTT","GloboNews Ao Vivo",4783000,202012
"25242","Brazil","State of Rondonia","Porto Velho","ios","desktop","Globoplay OTT","The Big Bang Theory",4785001,202012
"25293","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Rede Globo","Laços de Família – Vale a Pena Ver de Novo",598000,202012
"25294","Brazil","State of Rio de Janeiro","Rio de Janeiro","ios","desktop","Rede Globo","Laços de Família – Vale a Pena Ver de Novo",5177000,202012
"25295","Brazil","State of Rio de Janeiro","Petropolis","ios","desktop","Globoplay OTT","Prison Break: Em Busca da Verdade",1349002,202012
"25306","Brazil","State of Pernambuco","Recife","ios","desktop","Globoplay OTT","The Good Doctor - O Bom Doutor",2086000,202012
"25339","Brazil","State of Parana","Matinhos","ios","desktop","Rede Globo","Império",2226000,202012
"25411","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","Pessoa de Interesse",4788001,202012
"25516","Brazil","State of Amazonas","Manaus","ios","desktop","Universal OTT","Universal Ao Vivo",3538000,202012
"25526","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Rede Globo","O Rebu",2216000,202012
"25934","Brazil","State of Sao Paulo","Sao Vicente","ios","desktop","Rede Globo","Globoplay Ao Vivo",1573000,202012
"26067","Brazil","State of Rio de Janeiro","Niteroi","ios","desktop","Rede Globo","Globoplay Ao Vivo",410000,202012
"26191","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","SporTV OTT","SporTV Ao Vivo",4783000,202012
"26206","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","FBI",3163000,202012
"26218","Brazil","State of Sao Paulo","Sao Paulo","ios","desktop","Globoplay OTT","Hospital New Amsterdam",4779000,202012
"26352","Brazil","State of Ceara","Maracanau","ios","desktop","Universal OTT","Coroner",5076000,202012
"26396","Brazil","Federal District","Brasilia","ios","desktop","Globoplay OTT","Chicago Fire",2087000,202012
