"","canal","qualidade","percentual","impressoes"
"111","SporTV OTT","3.25 Mbps",12.84,19
"112","SporTV OTT","3.75 Mbps",0,0
"113","SporTV OTT","4.25 Mbps",0,0
"114","SporTV OTT","4.75 Mbps",39.86,59
"115","SporTV OTT","5.25 Mbps",0,0
"116","SporTV OTT","5.75 Mbps",0,0
"117","SporTV OTT","6.25 Mbps",0,0
"118","Canal Brasil OTT","0.25 Mbps",0,0
"119","Canal Brasil OTT","0.75 Mbps",0,0
"120","Canal Brasil OTT","1.25 Mbps",0,0
"121","Canal Brasil OTT","1.75 Mbps",0,0
"122","Canal Brasil OTT","2.25 Mbps",16.67,3
"123","Canal Brasil OTT","2.75 Mbps",0,0
"124","Canal Brasil OTT","3.25 Mbps",5.56,1
"125","Canal Brasil OTT","3.75 Mbps",0,0
"126","Canal Brasil OTT","4.25 Mbps",0,0
"127","Canal Brasil OTT","4.75 Mbps",61.11,11
"128","Canal Brasil OTT","5.25 Mbps",16.67,3
"129","Canal Brasil OTT","5.75 Mbps",0,0
"130","Canal Brasil OTT","6.25 Mbps",0,0
"131","Gloob OTT","0.25 Mbps",0,0
"132","Gloob OTT","0.75 Mbps",0.76,1
"133","Gloob OTT","1.25 Mbps",10.61,14
"134","Gloob OTT","1.75 Mbps",0,0
"135","Gloob OTT","2.25 Mbps",27.27,36
"136","Gloob OTT","2.75 Mbps",0,0
"137","Gloob OTT","3.25 Mbps",44.7,59
"138","Gloob OTT","3.75 Mbps",0,0
"139","Gloob OTT","4.25 Mbps",0,0
"140","Gloob OTT","4.75 Mbps",12.12,16
"141","Gloob OTT","5.25 Mbps",4.55,6
"142","Gloob OTT","5.75 Mbps",0,0
"143","Gloob OTT","6.25 Mbps",0,0
"144","Philos OTT","0.25 Mbps",0,0
"145","Philos OTT","0.75 Mbps",0,0
"146","Philos OTT","1.25 Mbps",50,1
"147","Philos OTT","1.75 Mbps",0,0
"148","Philos OTT","2.25 Mbps",0,0
"149","Philos OTT","2.75 Mbps",0,0
"150","Philos OTT","3.25 Mbps",0,0
"151","Philos OTT","3.75 Mbps",0,0
"152","Philos OTT","4.25 Mbps",0,0
"153","Philos OTT","4.75 Mbps",50,1
"154","Philos OTT","5.25 Mbps",0,0
